"Story","Title","Result","Date","Stability","Duration (s)"
"Alterar Senha do usuario","Alterar Senha","SUCCESS","2018-02-27T10:21:56.244-03:00","0.0","24.98"
"Cadastrar novo usuario","Cadastrar usuario","SUCCESS","2018-02-27T10:21:20.081-03:00","0.0","31.94"
"Colocar o produto Printed Chiffon Dress no carrinho","Colocar o produto Printed Chiffon Dress no carrinho","SUCCESS","2018-02-27T10:22:21.767-03:00","0.0","20.94"
"Filtrar pela cor Verde e adicionar ao carrinho","Filtrar pela cor Verde","SUCCESS","2018-02-27T10:22:43.158-03:00","0.0","13.81"
"escolher a seção T-shirts, aumentar a quantidade do item a seis","escolher a seção T-shirts, aumentar a quantidade do item a seis","SUCCESS","2018-02-27T10:23:47.551-03:00","0.0","13.27"
"Entrar na seção Fale Conosco, enviar uma mensagem","escolher a seção T-shirts, aumentar a quantidade do item a seis","SUCCESS","2018-02-27T10:31:54.618-03:00","0.0","13.47"
"filtrar pelo preço 25,00 R$ - 38,00 R$","filtrar pelo preço 25,00 R$ - 38,00 R$","SUCCESS","2018-02-27T10:23:25.270-03:00","0.0","11.2"
"filtrar pelo tamanho L e composição Algodão e depois remover filtro de tamanho","filtrar pelo tamanho L e composição Algodão","SUCCESS","2018-02-27T10:23:11.883-03:00","0.0","12.89"
"filtrar pelo tamanho L e estilo Vistoso","filtrar pelo tamanho L e estilo Vistoso","SUCCESS","2018-02-27T10:22:57.513-03:00","0.0","13.79"
"ordenar do mais barato pro mais caro e colocar o produto mais barato no carrinho","ordenar do mais barato pro mais caro","SUCCESS","2018-02-27T10:23:36.941-03:00","0.0","10.03"
